article,form,material,color,brand,category,temples_length,lens_width,bridge_width,price,seasonality,gender,age_group
019-GOLD,кошачий_глаз,комбинированный,коричневый,Ray-Ban,солнцезащитные,140,48,14,7543,летняя,мужской,пожилой
019-PINK,кошачий_глаз,металл,коричневый,Ray-Ban,солнцезащитные,145,52,17,5382,летняя,мужской,пожилой
019-PTL,квадратная,пластик,коричневый,Gucci,солнцезащитные,130,48,16,35718,летняя,мужской,средний
019-SILVER,кошачий_глаз,титан,золотой,Tom Ford,солнцезащитные,140,50,17,40140,летняя,женский,пожилой
0190-KDX,овальная,комбинированный,белый,Prada,оптика,135,48,19,28592,всесезонная,мужской,молодой
0190-O63,квадратная,комбинированный,синий,Gucci,солнцезащитные,150,54,16,19080,летняя,мужской,пожилой
02-509 17,овальная,комбинированный,серый,Ray-Ban,солнцезащитные,130,52,17,6093,летняя,женский,молодой
02-528 01,овальная,металл,серебряный,Tom Ford,оптика,140,50,14,47126,всесезонная,мужской,средний
02-577 21,овальная,титан,черный,Valentino,оптика,130,52,15,9960,всесезонная,унисекс,пожилой
02-612 17,квадратная,металл,серебряный,Ray-Ban,солнцезащитные,150,50,19,9573,летняя,мужской,пожилой
02-622 17,прямоугольная,металл,золотой,Polaroid,оптика,135,50,17,20343,всесезонная,мужской,пожилой
02-624 05,прямоугольная,титан,золотой,Oakley,оптика,130,46,17,14536,всесезонная,унисекс,средний
02-662 07,круглая,титан,серый,Polaroid,солнцезащитные,150,46,18,19500,летняя,мужской,средний
02-670 19,овальная,металл,черный,Valentino,солнцезащитные,130,52,19,41546,летняя,женский,пожилой
02-690 19P,квадратная,металл,золотой,Prada,солнцезащитные,130,52,17,32798,летняя,женский,средний
02-696 18P,квадратная,металл,черный,Tom Ford,солнцезащитные,150,46,18,38770,летняя,мужской,средний
02-725 08,круглая,пластик,белый,Valentino,оптика,135,48,15,37050,всесезонная,унисекс,молодой
02-735 07,овальная,пластик,черный,Prada,солнцезащитные,130,46,15,18164,летняя,мужской,средний
02-739 07,овальная,титан,золотой,Oakley,солнцезащитные,135,48,20,5430,летняя,унисекс,пожилой
02-743 07P,овальная,пластик,коричневый,Ray-Ban,оптика,145,52,18,7109,всесезонная,женский,молодой
02-746 07,прямоугольная,металл,серебряный,Valentino,оптика,150,50,17,46044,всесезонная,мужской,средний
02-746 37,кошачий_глаз,титан,черный,Prada,солнцезащитные,140,50,17,7322,летняя,мужской,пожилой
02-765 05,квадратная,комбинированный,золотой,Polaroid,оптика,130,54,20,9236,всесезонная,мужской,молодой
02-769 07,прямоугольная,титан,золотой,Ray-Ban,солнцезащитные,145,52,15,18140,летняя,женский,пожилой
02-769 13,круглая,металл,белый,Gucci,солнцезащитные,145,48,20,19126,летняя,мужской,средний
02-769 17,круглая,пластик,серебряный,Valentino,оптика,145,50,18,41556,всесезонная,мужской,молодой
02-769 19,прямоугольная,титан,коричневый,Gucci,оптика,135,52,19,45950,всесезонная,мужской,средний
02-772 17,кошачий_глаз,металл,коричневый,Polaroid,оптика,145,54,20,15197,всесезонная,мужской,пожилой
02-772 19,квадратная,комбинированный,черный,Ray-Ban,оптика,130,52,15,11321,всесезонная,унисекс,молодой
02-776 17,прямоугольная,титан,золотой,Lacoste,оптика,150,50,15,16760,всесезонная,унисекс,средний
02-781 03,круглая,титан,коричневый,Tom Ford,солнцезащитные,130,46,18,17448,летняя,унисекс,молодой
02-781 06,прямоугольная,металл,серый,Tom Ford,оптика,150,54,17,18198,всесезонная,женский,молодой
02-781 17,прямоугольная,комбинированный,синий,Tom Ford,оптика,145,50,18,34270,всесезонная,мужской,средний
02-781 18,кошачий_глаз,титан,белый,Gucci,солнцезащитные,150,46,20,35692,летняя,унисекс,средний
02-783 06,кошачий_глаз,металл,черный,Polaroid,оптика,140,52,15,8178,всесезонная,женский,средний
02-783 18,круглая,металл,белый,Prada,солнцезащитные,150,46,20,38340,летняя,унисекс,пожилой
02-788 17,прямоугольная,пластик,золотой,Valentino,оптика,150,52,15,24220,всесезонная,мужской,пожилой
02-788 18,квадратная,комбинированный,серебряный,Valentino,солнцезащитные,150,48,14,25112,летняя,унисекс,пожилой
02-789 18,круглая,титан,синий,Prada,солнцезащитные,130,52,16,37008,летняя,женский,средний
02-806 13,овальная,комбинированный,коричневый,Gucci,солнцезащитные,150,54,14,12144,летняя,мужской,средний
02-810 17,квадратная,металл,черный,Valentino,солнцезащитные,130,54,14,16210,летняя,женский,молодой
02-810 19,прямоугольная,пластик,серебряный,Gucci,оптика,145,50,19,20228,всесезонная,мужской,средний
02-811 09,овальная,металл,серый,Gucci,оптика,130,46,18,37276,всесезонная,унисекс,молодой
02-811 11,кошачий_глаз,комбинированный,золотой,Valentino,солнцезащитные,150,46,14,15612,летняя,женский,молодой
02-812 11,круглая,комбинированный,серый,Ray-Ban,оптика,135,48,19,17437,всесезонная,женский,пожилой
02-814 09,круглая,пластик,золотой,Valentino,оптика,150,54,15,18942,всесезонная,женский,молодой
02-814 51,прямоугольная,титан,синий,Tom Ford,солнцезащитные,140,48,17,29112,летняя,унисекс,пожилой
02-816 64,овальная,комбинированный,синий,Polaroid,оптика,150,52,20,3406,всесезонная,женский,пожилой
02-817 17,кошачий_глаз,металл,коричневый,Lacoste,оптика,140,48,19,15611,всесезонная,женский,молодой
02-817 64,кошачий_глаз,комбинированный,золотой,Oakley,солнцезащитные,140,48,17,6610,летняя,мужской,средний
02-818 17,прямоугольная,пластик,черный,Gucci,солнцезащитные,140,52,15,27656,летняя,унисекс,молодой
02-818 64,квадратная,пластик,серебряный,Lacoste,оптика,135,52,17,21743,всесезонная,мужской,пожилой
02-819 17,кошачий_глаз,пластик,синий,Gucci,солнцезащитные,140,54,20,49350,летняя,мужской,средний
02-822 04,квадратная,пластик,черный,Oakley,оптика,135,48,14,12435,всесезонная,женский,средний
02-822 18,квадратная,пластик,серый,Tom Ford,солнцезащитные,150,52,15,48398,летняя,унисекс,пожилой
02-823 04,овальная,титан,белый,Gucci,солнцезащитные,130,48,18,6290,летняя,унисекс,молодой
02-825 18P,квадратная,комбинированный,серебряный,Ray-Ban,оптика,130,54,20,20633,всесезонная,унисекс,пожилой
02-825 20P,кошачий_глаз,металл,черный,Prada,солнцезащитные,130,48,16,24320,летняя,унисекс,молодой
02-828 18P,прямоугольная,пластик,серый,Prada,солнцезащитные,145,48,19,29086,летняя,мужской,пожилой
02-831 39P,кошачий_глаз,металл,золотой,Oakley,оптика,140,46,14,15323,всесезонная,унисекс,средний
02-832 17,кошачий_глаз,металл,золотой,Lacoste,оптика,135,52,18,20091,всесезонная,унисекс,молодой
02-832 20,круглая,комбинированный,коричневый,Oakley,солнцезащитные,145,54,15,4735,летняя,унисекс,средний
02-834 17,круглая,пластик,черный,Valentino,солнцезащитные,140,48,20,49350,летняя,мужской,средний
02-834 19,кошачий_глаз,металл,синий,Valentino,солнцезащитные,130,48,19,35576,летняя,мужской,молодой
02-837 19P,квадратная,титан,золотой,Tom Ford,оптика,145,50,19,12166,всесезонная,женский,пожилой
02-837 51P,кошачий_глаз,титан,золотой,Prada,солнцезащитные,130,46,19,36926,летняя,женский,средний
020-BROWN,квадратная,металл,золотой,Valentino,солнцезащитные,145,48,18,15790,летняя,мужской,молодой
020-GRY,кошачий_глаз,пластик,серый,Valentino,оптика,130,46,14,43584,всесезонная,унисекс,пожилой
020-GUN,прямоугольная,пластик,синий,Oakley,солнцезащитные,140,50,20,21073,летняя,мужской,молодой
0203O-001,квадратная,пластик,коричневый,Valentino,солнцезащитные,135,54,16,14214,летняя,мужской,средний
0209O-002,овальная,титан,синий,Oakley,солнцезащитные,145,46,20,11325,летняя,женский,пожилой
021-0492,овальная,пластик,коричневый,Prada,солнцезащитные,145,48,15,47218,летняя,женский,средний
021-0A01,квадратная,пластик,коричневый,Polaroid,оптика,150,52,16,23643,всесезонная,унисекс,молодой
021-BROWN,кошачий_глаз,пластик,серебряный,Gucci,солнцезащитные,135,52,14,17544,летняя,унисекс,молодой
021-RED,прямоугольная,металл,синий,Ray-Ban,солнцезащитные,145,48,18,10967,летняя,унисекс,средний
021-SILVER,круглая,титан,синий,Polaroid,солнцезащитные,140,50,18,15330,летняя,унисекс,средний
021-VLT,овальная,пластик,серебряный,Gucci,солнцезащитные,130,50,14,48242,летняя,унисекс,молодой
0212O-004,прямоугольная,металл,золотой,Ray-Ban,оптика,145,46,18,12074,всесезонная,унисекс,молодой
021С-С1,круглая,комбинированный,серебряный,Ray-Ban,солнцезащитные,145,54,16,15411,летняя,унисекс,пожилой
022-01,кошачий_глаз,металл,коричневый,Oakley,солнцезащитные,150,48,19,4549,летняя,унисекс,молодой
022-PRP,кошачий_глаз,пластик,синий,Oakley,солнцезащитные,135,54,14,10758,летняя,женский,молодой
022-RED,кошачий_глаз,металл,белый,Valentino,солнцезащитные,150,54,17,35656,летняя,женский,пожилой
022-VLT,кошачий_глаз,титан,синий,Ray-Ban,оптика,150,48,19,13634,всесезонная,мужской,средний
0220-AU2,кошачий_глаз,титан,серебряный,Prada,солнцезащитные,135,54,15,34112,летняя,женский,молодой
0220OA-003,квадратная,металл,черный,Tom Ford,оптика,135,52,18,6032,всесезонная,женский,средний
0224-TCB,кошачий_глаз,титан,серый,Valentino,солнцезащитные,135,50,19,43326,летняя,женский,пожилой
0227-BSC,кошачий_глаз,комбинированный,серебряный,Ray-Ban,оптика,145,46,20,23310,всесезонная,женский,молодой
0231O-005,кошачий_глаз,комбинированный,серый,Gucci,солнцезащитные,130,54,17,12912,летняя,женский,средний
0239-80S,овальная,титан,синий,Oakley,оптика,140,50,17,18587,всесезонная,унисекс,пожилой
023С-С1,круглая,пластик,синий,Polaroid,солнцезащитные,145,46,20,11964,летняя,женский,молодой
024-BLACK,прямоугольная,пластик,золотой,Lacoste,солнцезащитные,130,46,14,14824,летняя,мужской,пожилой
024-GREY,кошачий_глаз,титан,золотой,Lacoste,солнцезащитные,140,48,19,17089,летняя,женский,молодой
0243O-004,прямоугольная,пластик,серый,Lacoste,солнцезащитные,135,46,15,6983,летняя,унисекс,молодой
0243O-005,прямоугольная,пластик,черный,Tom Ford,оптика,135,52,19,17892,всесезонная,женский,пожилой
0247OK-001,круглая,титан,коричневый,Gucci,солнцезащитные,130,52,14,30516,летняя,унисекс,средний
